hira,kata,codes,family,notes
あ,ア,a,gojuon,
い,イ,i | yi,gojuon,
う,ウ,u | wu | whu,gojuon,
え,エ,e,gojuon,
お,オ,o,gojuon,
か,カ,ka | ca,gojuon,
き,キ,ki,gojuon,
く,ク,ku | cu | qu,gojuon,
け,ケ,ke,gojuon,
こ,コ,ko | co,gojuon,
さ,サ,sa,gojuon,
し,シ,si | shi | ci,gojuon,
す,ス,su,gojuon,
せ,セ,se | ce,gojuon,
そ,ソ,so,gojuon,
た,タ,ta,gojuon,
ち,チ,ti | chi,gojuon,
つ,ツ,tu | tsu,gojuon,
て,テ,te,gojuon,
と,ト,to,gojuon,
な,ナ,na,gojuon,
に,ニ,ni,gojuon,
ぬ,ヌ,nu,gojuon,
ね,ネ,ne,gojuon,
の,ノ,no,gojuon,
は,ハ,ha,gojuon,
ひ,ヒ,hi,gojuon,
ふ,フ,hu | fu,gojuon,
へ,ヘ,he,gojuon,
ほ,ホ,ho,gojuon,
ま,マ,ma,gojuon,
み,ミ,mi,gojuon,
む,ム,mu,gojuon,
め,メ,me,gojuon,
も,モ,mo,gojuon,
や,ヤ,ya,gojuon,
ゆ,ユ,yu,gojuon,
よ,ヨ,yo,gojuon,
ら,ラ,ra,gojuon,
り,リ,ri,gojuon,
る,ル,ru,gojuon,
れ,レ,re,gojuon,
ろ,ロ,ro,gojuon,
わ,ワ,wa,gojuon,
ゐ,ヰ,wi,gojuon,
ゑ,ヱ,we,gojuon,
を,ヲ,wo,gojuon,
ん,ン,nn | n | xn,gojuon,
が,ガ,ga,gojuon,
ぎ,ギ,gi,gojuon,
ぐ,グ,gu,gojuon,
げ,ゲ,ge,gojuon,
ご,ゴ,go,gojuon,
ざ,ザ,za,gojuon,
じ,ジ,zi | ji,gojuon,
ず,ズ,zu,gojuon,
ぜ,ゼ,ze,gojuon,
ぞ,ゾ,zo,gojuon,
だ,ダ,da,gojuon,
ぢ,ヂ,di,gojuon,
づ,ヅ,du,gojuon,
で,デ,de,gojuon,
ど,ド,do,gojuon,
ば,バ,ba,gojuon,
び,ビ,bi,gojuon,
ぶ,ブ,bu,gojuon,
べ,ベ,be,gojuon,
ぼ,ボ,bo,gojuon,
ぱ,パ,pa,gojuon,
ぴ,ピ,pi,gojuon,
ぷ,プ,pu,gojuon,
ぺ,ペ,pe,gojuon,
ぽ,ポ,po,gojuon,
,?,va,gojuon,"source glyph missing; keep codes, resolve against ヴァ行"
,?,vi,gojuon,"source glyph missing; keep codes, resolve against ヴァ行"
ゔ,ヴ,vu,gojuon,
,?,ve,gojuon,"source glyph missing; keep codes, resolve against ヴァ行"
,?,vo,gojuon,"source glyph missing; keep codes, resolve against ヴァ行"
きゃ,キャ,kya,youon,
きぃ,キィ,kyi,youon,
きゅ,キュ,kyu,youon,
きぇ,キェ,kye,youon,
きょ,キョ,kyo,youon,
くぁ,クァ,kwa | qa | qwa,youon,
くゎ,クヮ,kwa | qa | qwa,youon,
くぃ,クィ,kwi | qi | qwi | qyi,youon,
くぇ,クェ,kwe | qe | qwe | qye,youon,
くぉ,クォ,kwo | qo | qwo,youon,
くゃ,クャ,qya,youon,
くゅ,クュ,qyu,youon,
くょ,クョ,qyo,youon,
しゃ,シャ,sya | sha,youon,
しぃ,シィ,syi,youon,
しゅ,シュ,syu | shu,youon,
しぇ,シェ,sye | she,youon,
しょ,ショ,syo | sho,youon,
すぁ,スァ,swa,youon,
すぃ,スィ,swi,youon,
すぅ,スゥ,swu,youon,
すぇ,スェ,swe,youon,
すぉ,スォ,swo,youon,
ちゃ,チャ,tya | cha | cya,youon,
ちぃ,チィ,tyi | cyi,youon,
ちゅ,チュ,tyu | chu | cyu,youon,
ちぇ,チェ,tye | che | cye,youon,
ちょ,チョ,tyo | cho | cyo,youon,
つぁ,ツァ,tsa,youon,
つぃ,ツィ,tsi,youon,
つぇ,ツェ,tse,youon,
つぉ,ツォ,tso,youon,
てゃ,テャ,tha,youon,
てぃ,ティ,thi,youon,
てゅ,テュ,thu,youon,
てぇ,テェ,the,youon,
てょ,テョ,tho,youon,
とぁ,トァ,twa,youon,
とぃ,トィ,twi,youon,
とぅ,トゥ,twu,youon,
とぇ,トェ,twe,youon,
とぉ,トォ,two,youon,
にゃ,ニャ,nya,youon,
にぃ,ニィ,nyi,youon,
にゅ,ニュ,nyu,youon,
にぇ,ニェ,nye,youon,
にょ,ニョ,nyo,youon,
ひゃ,ヒャ,hya,youon,
ひぃ,ヒィ,hyi,youon,
ひゅ,ヒュ,hyu,youon,
ひぇ,ヒェ,hye,youon,
ひょ,ヒョ,hyo,youon,
ふぁ,ファ,fa | fwa,youon,
ふぃ,フィ,fi | fwi,youon,
ふぅ,フゥ,fwu,youon,
ふぇ,フェ,fe | fwe,youon,
ふぉ,フォ,fo | fwo,youon,
ふゃ,フャ,fya,youon,
ふゅ,フュ,fyu,youon,
ふょ,フョ,fyo,youon,
みゃ,ミャ,mya,youon,
みぃ,ミィ,myi,youon,
みゅ,ミュ,myu,youon,
みぇ,ミェ,mye,youon,
みょ,ミョ,myo,youon,
いぇ,イェ,ye,youon,
りゃ,リャ,rya,youon,
りぃ,リィ,ryi,youon,
りゅ,リュ,ryu,youon,
りぇ,リェ,rye,youon,
りょ,リョ,ryo,youon,
うぃ,ウィ,wi,youon,
うぇ,ウェ,we,youon,
うぉ,ウォ,wo,youon,
ぎゃ,ギャ,gya,youon,
ぎぃ,ギィ,gyi,youon,
ぎゅ,ギュ,gyu,youon,
ぎぇ,ギェ,gye,youon,
ぎょ,ギョ,gyo,youon,
ぐぁ,グァ,gwa,youon,
ぐゎ,グヮ,gwa,youon,
ぐぃ,グィ,gwi,youon,
ぐぅ,グゥ,gwu,youon,
ぐぇ,グェ,gwe,youon,
ぐぉ,グォ,gwo,youon,
じゃ,ジャ,zya | ja | jya,youon,
じぃ,ジィ,zyi | jyi,youon,
じゅ,ジュ,zyu | ju | jyu,youon,
じぇ,ジェ,zye | je | jye,youon,
じょ,ジョ,zyo | jo | jyo,youon,
でゃ,デャ,dha,youon,
でぃ,ディ,dhi,youon,
でゅ,デュ,dhu,youon,
でぇ,デェ,dhe,youon,
でょ,デョ,dho,youon,
どぁ,ドァ,dwa,youon,
どぃ,ドィ,dwi,youon,
どぅ,ドゥ,dwu,youon,
どぇ,ドェ,dwe,youon,
どぉ,ドォ,dwo,youon,
びゃ,ビャ,bya,youon,
びぃ,ビィ,byi,youon,
びゅ,ビュ,byu,youon,
びぇ,ビェ,bye,youon,
びょ,ビョ,byo,youon,
ぴゃ,ピャ,pya,youon,
ぴぃ,ピィ,pyi,youon,
ぴゅ,ピュ,pyu,youon,
ぴぇ,ピェ,pye,youon,
ぴょ,ピョ,pyo,youon,
ゔぁ,ヴァ,va,youon,
ゔぃ,ヴィ,vi | vyi,youon,
ゔぇ,ヴェ,ve | vye,youon,
ゔぉ,ヴォ,vo,youon,
ゔゃ,ヴャ,vya,youon,
ゔゅ,ヴュ,vyu,youon,
ゔょ,ヴョ,vyo,youon,
ぁ,ァ,la | xa,small,
ぃ,ィ,li | xi | lyi | xyi,small,
ぅ,ゥ,lu | xu,small,
ぇ,ェ,le | xe,small,
ぉ,ォ,lo | xo,small,
ゕ,ヵ,lka | xka,small,
ゖ,ヶ,lke | xke,small,
っ,ッ,ltu | ltsu | xtu | xtsu,sokuon,
ゃ,ャ,lya | xya,small,
ゅ,ュ,lyu | xyu,small,
ょ,ョ,lyo | xyo,small,
ゎ,ヮ,lwa | xwa,small,
っか,ッカ,kka | cca,sokuon,
っき,ッキ,kki,sokuon,
っく,ック,kku | ccu | qqu,sokuon,
っけ,ッケ,kke,sokuon,
っこ,ッコ,kko | cco,sokuon,
っさ,ッサ,ssa,sokuon,
っし,ッシ,ssi | sshi | cci,sokuon,
っす,ッス,ssu,sokuon,
っせ,ッセ,sse | cce,sokuon,
っそ,ッソ,sso,sokuon,
った,ッタ,tta,sokuon,
っち,ッチ,tti | cchi,sokuon,
っつ,ッツ,ttu | ttsu,sokuon,
って,ッテ,tte,sokuon,
っと,ット,tto,sokuon,
っな,ッナ,nna,sokuon,
っに,ッニ,nni,sokuon,
っぬ,ッヌ,nnu,sokuon,
っね,ッネ,nne,sokuon,
っの,ッノ,nno,sokuon,
っは,ッハ,hha,sokuon,
っひ,ッヒ,hhi,sokuon,
っふ,ッフ,hhu | ffu,sokuon,
っへ,ッヘ,hhe,sokuon,
っほ,ッホ,hho,sokuon,
っま,ッマ,mma,sokuon,
っみ,ッミ,mmi,sokuon,
っむ,ッム,mmu,sokuon,
っめ,ッメ,mme,sokuon,
っも,ッモ,mmo,sokuon,
っや,ッヤ,yya,sokuon,
っゆ,ッユ,yyu,sokuon,
っよ,ッヨ,yyo,sokuon,
っら,ッラ,rra,sokuon,
っり,ッリ,rri,sokuon,
っる,ッル,rru,sokuon,
っれ,ッレ,rre,sokuon,
っろ,ッロ,rro,sokuon,
っわ,ッワ,wwa,sokuon,
っゐ,ッヰ,wwi,sokuon,
っゑ,ッヱ,wwe,sokuon,
っを,ッヲ,wwo,sokuon,
っが,ッガ,gga,sokuon,
っぎ,ッギ,ggi,sokuon,
っぐ,ッグ,ggu,sokuon,
っげ,ッゲ,gge,sokuon,
っご,ッゴ,ggo,sokuon,
っざ,ッザ,zza,sokuon,
っじ,ッジ,zzi | jji,sokuon,
っず,ッズ,zzu,sokuon,
っぜ,ッゼ,zze,sokuon,
っぞ,ッゾ,zzo,sokuon,
っだ,ッダ,dda,sokuon,
っぢ,ッヂ,ddi,sokuon,
っづ,ッヅ,ddu,sokuon,
っで,ッデ,dde,sokuon,
っど,ッド,ddo,sokuon,
っば,ッバ,bba,sokuon,
っび,ッビ,bbi,sokuon,
っぶ,ッブ,bbu,sokuon,
っべ,ッベ,bbe,sokuon,
っぼ,ッボ,bbo,sokuon,
っぱ,ッパ,ppa,sokuon,
っぴ,ッピ,ppi,sokuon,
っぷ,ップ,ppu,sokuon,
っぺ,ッペ,ppe,sokuon,
っぽ,ッポ,ppo,sokuon,
っ?,ッ?,vva,sokuon,
っ?,ッ?,vvi,sokuon,
っゔ,ッヴ,vvu,sokuon,
っ?,ッ?,vve,sokuon,
っ?,ッ?,vvo,sokuon,
っきゃ,ッキャ,kkya,sokuon,
っきぃ,ッキィ,kkyi,sokuon,
っきゅ,ッキュ,kkyu,sokuon,
っきぇ,ッキェ,kkye,sokuon,
っきょ,ッキョ,kkyo,sokuon,
っくぁ,ックァ,kkwa | qqa | qqwa,sokuon,
っくゎ,ックヮ,kkwa | qqa | qqwa,sokuon,
っくぃ,ックィ,kkwi | qqi | qqwi | qqyi,sokuon,
っくぇ,ックェ,kkwe | qqe | qqwe | qqye,sokuon,
っくぉ,ックォ,kkwo | qqo | qqwo,sokuon,
っくゃ,ックャ,qqya,sokuon,
っくゅ,ックュ,qqyu,sokuon,
っくょ,ックョ,qqyo,sokuon,
っしゃ,ッシャ,ssya | ssha,sokuon,
っしぃ,ッシィ,ssyi,sokuon,
っしゅ,ッシュ,ssyu | sshu,sokuon,
っしぇ,ッシェ,ssye | sshe,sokuon,
っしょ,ッショ,ssyo | ssho,sokuon,
っすぁ,ッスァ,sswa,sokuon,
っすぃ,ッスィ,sswi,sokuon,
っすぅ,ッスゥ,sswu,sokuon,
っすぇ,ッスェ,sswe,sokuon,
っすぉ,ッスォ,sswo,sokuon,
っちゃ,ッチャ,ttya | ccha | ccya,sokuon,
っちぃ,ッチィ,ttyi | ccyi,sokuon,
っちゅ,ッチュ,ttyu | cchu | ccyu,sokuon,
っちぇ,ッチェ,ttye | cche | ccye,sokuon,
っちょ,ッチョ,ttyo | ccho | ccye,sokuon,ccye looks copied from ッチェ; likely ccyo
っつぁ,ッツァ,ttsa,sokuon,
っつぃ,ッツィ,ttsi,sokuon,
っつぇ,ッツェ,ttse,sokuon,
っつぉ,ッツォ,ttso,sokuon,
ってゃ,ッテャ,ttha,sokuon,
ってぃ,ッティ,tthi,sokuon,
ってゅ,ッテュ,tthu,sokuon,
ってぇ,ッテェ,tthe,sokuon,
ってょ,ッテョ,ttho,sokuon,
っとぁ,ットァ,ttwa,sokuon,
っとぃ,ットィ,ttwi,sokuon,
っとぅ,ットゥ,ttwu,sokuon,
っとぇ,ットェ,ttwe,sokuon,
っとぉ,ットォ,ttwo,sokuon,
っにゃ,ッニャ,nnya,sokuon,
っにぃ,ッニィ,nnyi,sokuon,
っにゅ,ッニュ,nnyu,sokuon,
っにぇ,ッニェ,nnye,sokuon,
っにょ,ッニョ,nnyo,sokuon,
っひゃ,ッヒャ,hhya,sokuon,
っひぃ,ッヒィ,hhyi,sokuon,
