glyph,latex,latex_alias,katex,typst,typst_shorthand,lean,lean_shorthand,mma,mma_alias
!,,clam,,excl,,,,RawExclamation,
#,,,#,hash,,,,,
$,,dollar,$ | textdollar,dollar | pataca | peso,,,,,
%,,percent,%,percent,,,,RawPercent,
&,,ampersand | and,& | And,amp,,,,RawAmpersand,
',,,,quote.single,,,,RawQuote,
(,lparen,,lparen,paren.l,,,,RawLeftParenthesis,
),rparen,,rparen,paren.r,,,,RawRightParenthesis,
*,,,,ast.basic,,,,Bullet,
+,,plus,,plus,,,,RawPlus,
",",,comma,,comma,,,,RawComma,
-,,,,hyph.minus,,,,RawDash,
.,,period,ldotp,dot.basic,,,,RawDot,
/,,slash,,slash,,,,RawSlash,
0,,,,zero | zero.slashed,,,,,
:,colon,,,colon,,,,RawColon,
;,,semicolon,,semi,,,,RawSemicolon,
<,less,,lt | textless,lt,,,,RawLess,
=,equal,,,eq,,,,LongEqual,
>,greater,,gt | textgreater,gt,,,,RawGreater,
?,question,,,quest,,,,RawQuestion,
@,,atsign,,,,,,RawAt,
A,,,u0391,,,,,,
B,,,u0392,,,,,,
C,,,u2102,,,,,,
E,,,u0395,,,,,,
H,,,u0397 | u210D,,,,,,
I,,,u0399,,,,,,
K,,,u039A,,,,,,
M,,,u039C,,,,,,
N,,,u039D | u2115,,,,,,
O,,,u039F,,,,,,
P,,,u03A1 | u2119,,,,,,
Q,,,u211A,,,,,,
R,,,u211D,,,,,,
T,,,u03A4,,,,,,
X,,,u03A7,,,,,,
Z,,,u0396 | u2124,,,,,,
[,lbrack,,lbrack,bracket.l,,,,RawLeftBracket,
\,backslash,,backslash | textbackslash,,,setminus,,RawBackslash,
],rbrack,,rbrack,bracket.r,,,,RawRightBracket,
^,,,hat | textasciicircum,hat,,,,RawWedge,
_,,,_ | textunderscore,underscore,,,,,
`,,,,grave,,,,,
h,,,u210E,,,,,,
{,lbrace,,lbrace | textbraceleft | {,brace.l | control | gender,,,,RawLeftBrace,
|,vert,,textbar,bar.v,,,,RawVerticalBar,
},rbrace,,rbrace | textbraceright | },brace.r,,,,RawRightBrace,
~,,,textasciitilde | tilde,tilde.basic,,,,RawTilde,
 ,,,nobreakspace | space,,,,,,
¡,,,,excl.inv,,,r!,DownExclamation,
¢,,,,cent,,cent,,,
£,,sterling,mathsterling | pounds | textsterling,pound,,pounds | pound,,,
¤,,textcurrency,,currency,,currency,,,
¥,,yuan,yen,yen | yuan,,yen,,,
¦,,,,bar.v.broken,,brokenbar,,,
§,,section | S,S,section,,section,,Section,
¨,,,ddot,diaer | dot.double,,,,DoubleDot,
©,,,,copyright,,copyright,,Copyright,
ª,,,,,,ordfeminine | ^a_,,,
«,,,,quote.chevron.l.double,,f<< | flqq,,LeftGuillemet,
¬,neg | lnot,,lnot | neg,not,,not | neg | lnot,!,Not,
®,,,circledR,trademark.registered,,circledR | registered,,RegisteredTrademark,
¯,,,,macron,,,,,
°,degree,,degree | textdegree,degree,,degree,,Degree,
