commit,code,kind,glyph,comment,source
frac,frac,typst-fn,,typst fn,mathed SPELLINGS
mat,mat,typst-fn,,typst fn,mathed SPELLINGS
pmatrix,pmatrix,typst-fn,,typst fn,mathed SPELLINGS
binom,binom,typst-fn,,typst fn,mathed SPELLINGS
root,root,typst-fn,,typst fn,mathed SPELLINGS
sqrt,sqrt,typst-fn,,typst fn,mathed SPELLINGS
display,display,typst-fn,,typst fn,mathed SPELLINGS
inline,inline,typst-fn,,typst fn,mathed SPELLINGS
script,script,typst-fn,,typst fn,mathed SPELLINGS
sscript,sscript,typst-fn,,typst fn,mathed SPELLINGS
text,text,typst-fn,,typst fn,mathed SPELLINGS
cases,cases,typst-fn,,typst fn,mathed SPELLINGS
vec,vec,typst-fn,,typst fn,mathed SPELLINGS
attach,attach,typst-fn,,typst fn,mathed SPELLINGS
class,class,typst-fn,,typst fn,mathed SPELLINGS
primes,primes,typst-fn,,typst fn,mathed SPELLINGS
op,op,typst-fn,,typst fn,mathed SPELLINGS
sans,sans,typst-fn,,typst fn,mathed SPELLINGS
mono,mono,typst-fn,,typst fn,mathed SPELLINGS
bold,bold,typst-fn,,typst fn,mathed SPELLINGS
upright,upright,typst-fn,,typst fn,mathed SPELLINGS
italic,italic,typst-fn,,typst fn,mathed SPELLINGS
serif,serif,typst-fn,,typst fn,mathed SPELLINGS
frak,frak,typst-fn,,typst fn,mathed SPELLINGS
bb,bb,typst-fn,,typst fn,mathed SPELLINGS
scr,scr,typst-fn,,typst fn,mathed SPELLINGS
cal,cal,typst-fn,,typst fn,mathed SPELLINGS
abs,abs,typst-fn,,typst fn,mathed SPELLINGS
norm,norm,typst-fn,,typst fn,mathed SPELLINGS
floor,floor,typst-fn,,typst fn,mathed SPELLINGS
ceil,ceil,typst-fn,,typst fn,mathed SPELLINGS
round,round,typst-fn,,typst fn,mathed SPELLINGS
hat,hat,typst-fn,,typst fn,mathed SPELLINGS
overline,overline,typst-fn,,typst fn,mathed SPELLINGS
underline,underline,typst-fn,,typst fn,mathed SPELLINGS
minus,minus,typst-fn,,typst fn,mathed SPELLINGS
compose,compose,typst-fn,,typst fn,mathed SPELLINGS
tilde,tilde,typst-fn,,typst fn,mathed SPELLINGS
grave,grave,typst-fn,,typst fn,mathed SPELLINGS
acute,acute,typst-fn,,typst fn,mathed SPELLINGS
macron,macron,typst-fn,,typst fn,mathed SPELLINGS
dash,dash,typst-fn,,typst fn,mathed SPELLINGS
breve,breve,typst-fn,,typst fn,mathed SPELLINGS
dot,dot,typst-fn,,typst fn,mathed SPELLINGS
diaer,diaer,typst-fn,,typst fn,mathed SPELLINGS
dot.triple,dot.triple,typst-fn,,typst fn,mathed SPELLINGS
dot.quad,dot.quad,typst-fn,,typst fn,mathed SPELLINGS
circle,circle,typst-fn,,typst fn,mathed SPELLINGS
acute.double,acute.double,typst-fn,,typst fn,mathed SPELLINGS
caron,caron,typst-fn,,typst fn,mathed SPELLINGS
arrow.l,arrow.l,typst-fn,,typst fn,mathed SPELLINGS
arrow,arrow,typst-fn,,typst fn,mathed SPELLINGS
arrow.l.r,arrow.l.r,typst-fn,,typst fn,mathed SPELLINGS
harpoon.lt,harpoon.lt,typst-fn,,typst fn,mathed SPELLINGS
harpoon,harpoon,typst-fn,,typst fn,mathed SPELLINGS
cancel,cancel,typst-fn,,typst fn,mathed SPELLINGS
lr,lr,typst-fn,,typst fn,mathed SPELLINGS
mid,mid,typst-fn,,typst fn,mathed SPELLINGS
stretch,stretch,typst-fn,,typst fn,mathed SPELLINGS
scripts,scripts,typst-fn,,typst fn,mathed SPELLINGS
limits,limits,typst-fn,,typst fn,mathed SPELLINGS
overbrace,overbrace,typst-fn,,typst fn,mathed SPELLINGS
overbracket,overbracket,typst-fn,,typst fn,mathed SPELLINGS
overshell,overshell,typst-fn,,typst fn,mathed SPELLINGS
underbrace,underbrace,typst-fn,,typst fn,mathed SPELLINGS
underbracket,underbracket,typst-fn,,typst fn,mathed SPELLINGS
underparen,underparen,typst-fn,,typst fn,mathed SPELLINGS
undershell,undershell,typst-fn,,typst fn,mathed SPELLINGS
overparen,overparen,typst-fn,,typst fn,mathed SPELLINGS
overset,overset,typst-fn,,typst fn,mathed SPELLINGS
underset,underset,typst-fn,,typst fn,mathed SPELLINGS
 ,thin,typst-space, ,typst space,mathed space.rs
 ,med,typst-space, ,typst space,mathed space.rs
 ,thick,typst-space, ,typst space,mathed space.rs
 ,quad,typst-space, ,typst space,mathed space.rs
 ,wide,typst-space, ,typst space,mathed space.rs
Pr,Pr,typst-op,,typst op,math-catalog Op
arccos,arccos,typst-op,,typst op,math-catalog Op
arcsin,arcsin,typst-op,,typst op,math-catalog Op
arctan,arctan,typst-op,,typst op,math-catalog Op
arg,arg,typst-op,,typst op,math-catalog Op
cos,cos,typst-op,,typst op,math-catalog Op
cosh,cosh,typst-op,,typst op,math-catalog Op
cot,cot,typst-op,,typst op,math-catalog Op
coth,coth,typst-op,,typst op,math-catalog Op
csc,csc,typst-op,,typst op,math-catalog Op
csch,csch,typst-op,,typst op,math-catalog Op
ctg,ctg,typst-op,,typst op,math-catalog Op
deg,deg,typst-op,,typst op,math-catalog Op
det,det,typst-op,,typst op,math-catalog Op
dim,dim,typst-op,,typst op,math-catalog Op
exp,exp,typst-op,,typst op,math-catalog Op
gcd,gcd,typst-op,,typst op,math-catalog Op
hom,hom,typst-op,,typst op,math-catalog Op
id,id,typst-op,,typst op,math-catalog Op
im,im,typst-op,,typst op,math-catalog Op
inf,inf,typst-op,,typst op,math-catalog Op
ker,ker,typst-op,,typst op,math-catalog Op
lcm,lcm,typst-op,,typst op,math-catalog Op
lg,lg,typst-op,,typst op,math-catalog Op
lim,lim,typst-op,,typst op,math-catalog Op
liminf,liminf,typst-op,,typst op,math-catalog Op
limsup,limsup,typst-op,,typst op,math-catalog Op
ln,ln,typst-op,,typst op,math-catalog Op
log,log,typst-op,,typst op,math-catalog Op
max,max,typst-op,,typst op,math-catalog Op
min,min,typst-op,,typst op,math-catalog Op
mod,mod,typst-op,,typst op,math-catalog Op
sec,sec,typst-op,,typst op,math-catalog Op
sech,sech,typst-op,,typst op,math-catalog Op
sin,sin,typst-op,,typst op,math-catalog Op
sinc,sinc,typst-op,,typst op,math-catalog Op
sinh,sinh,typst-op,,typst op,math-catalog Op
sup,sup,typst-op,,typst op,math-catalog Op
tan,tan,typst-op,,typst op,math-catalog Op
tanh,tanh,typst-op,,typst op,math-catalog Op
tg,tg,typst-op,,typst op,math-catalog Op
tr,tr,typst-op,,typst op,math-catalog Op
